experiment_condition,idx,sentence,zero-poss,zero-copula,double-tense,be-construction,resultant-done,finna,come,double-modal,multiple-neg,neg-inversion,n-inv-neg-concord,aint,zero-3sg-pres-s,is-was-gen,zero-pl-s,double-object,wh-qu1,wh-qu2,existential-it,demonstrative-them,appositive-pleonastic-pronoun,bin,verb-stem,past-tense-swap,zero-rel-pronoun,preterite-had,bare-got,source_filename
FSCOT_CTX_legit_labels,0,Today's date is October the fourth two thousand seventeen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI4_FSCOT_CTX_legit_labels_predictions.csv
FSCOT_CTX_legit_labels,1,Birthday is December the first.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI4_FSCOT_CTX_legit_labels_predictions.csv
FSCOT_CTX_legit_labels,2,I was born in Washington DC.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI4_FSCOT_CTX_legit_labels_predictions.csv
FSCOT_CTX_legit_labels,3,"Haven't been in that neighborhood in the last four or five years since they, um- It's not the they remodeled.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,PHI4_FSCOT_CTX_legit_labels_predictions.csv
FSCOT_CTX_legit_labels,4,I was born here and then left when I was twenty seven.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI4_FSCOT_CTX_legit_labels_predictions.csv
FSCOT_CTX_legit_labels,5,So I pretty much grew up in DC.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI4_FSCOT_CTX_legit_labels_predictions.csv
FSCOT_CTX_legit_labels,6,I am the director of safety and facilities for RD-WORK-11.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI4_FSCOT_CTX_legit_labels_predictions.csv
FSCOT_CTX_legit_labels,7,"Yes, yes, um, for the past four years, I've been catering on the side, for the last four years, yeah.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI4_FSCOT_CTX_legit_labels_predictions.csv
FSCOT_CTX_legit_labels,8,"Um, initially when I first started, it was a favor.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI4_FSCOT_CTX_legit_labels_predictions.csv
FSCOT_CTX_legit_labels,9,That's how it started off.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI4_FSCOT_CTX_legit_labels_predictions.csv
